Sat Oct  2 00:15:46 2021       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 460.80       Driver Version: 460.80       CUDA Version: 11.2     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  GeForce RTX 3090    Off  | 00000000:3D:00.0 Off |                  N/A |
| 39%   25C    P8    26W / 350W |      0MiB / 24268MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2020 NVIDIA Corporation
Built on Mon_Oct_12_20:09:46_PDT_2020
Cuda compilation tools, release 11.1, V11.1.105
Build cuda_11.1.TC455_06.29190527_0
START
2021-10-02 00:16:40
Namespace(batch_size=8, block_size=512, epochs=10, eval_steps=10000, gradient_accumulation_steps=8, learning_rate=0.0001, mlm_probability=0.15, model_name='/gpfsnyu/scratch/yw3642/chaii/input/google-muril-base-case', output_dir='../model/muril-base-pretrained-wiki', save_steps=10000, seed=3407, stride=128, valid_ratio=0.1, warmup_ratio=0.1)
{'loss': 9.8834, 'learning_rate': 8.825622775800713e-06, 'epoch': 0.09}
{'loss': 6.0796, 'learning_rate': 1.7722419928825624e-05, 'epoch': 0.18}
{'loss': 4.2908, 'learning_rate': 2.6619217081850533e-05, 'epoch': 0.27}
{'loss': 3.3186, 'learning_rate': 3.551601423487544e-05, 'epoch': 0.36}
{'loss': 2.8797, 'learning_rate': 4.441281138790036e-05, 'epoch': 0.44}
{'loss': 2.6335, 'learning_rate': 5.330960854092527e-05, 'epoch': 0.53}
{'loss': 2.4612, 'learning_rate': 6.220640569395018e-05, 'epoch': 0.62}
{'loss': 2.3354, 'learning_rate': 7.11032028469751e-05, 'epoch': 0.71}
{'loss': 2.2448, 'learning_rate': 8e-05, 'epoch': 0.8}
{'loss': 2.1662, 'learning_rate': 8.889679715302492e-05, 'epoch': 0.89}
{'loss': 2.1046, 'learning_rate': 9.779359430604982e-05, 'epoch': 0.98}
{'loss': 2.0535, 'learning_rate': 9.925662317121393e-05, 'epoch': 1.07}
{'loss': 2.0207, 'learning_rate': 9.827006722024516e-05, 'epoch': 1.16}
{'loss': 1.9766, 'learning_rate': 9.72815342032424e-05, 'epoch': 1.25}
{'loss': 1.9531, 'learning_rate': 9.629300118623963e-05, 'epoch': 1.33}
{'loss': 1.9225, 'learning_rate': 9.530446816923687e-05, 'epoch': 1.42}
{'loss': 1.906, 'learning_rate': 9.431593515223409e-05, 'epoch': 1.51}
{'loss': 1.8788, 'learning_rate': 9.332740213523132e-05, 'epoch': 1.6}
{'loss': 1.8615, 'learning_rate': 9.233886911822855e-05, 'epoch': 1.69}
{'loss': 1.8496, 'learning_rate': 9.135033610122579e-05, 'epoch': 1.78}
{'eval_loss': 1.6896651983261108, 'eval_runtime': 524.0488, 'eval_samples_per_second': 76.241, 'eval_steps_per_second': 9.532, 'epoch': 1.78}
{'loss': 1.8443, 'learning_rate': 9.036180308422302e-05, 'epoch': 1.87}
{'loss': 1.8332, 'learning_rate': 8.937327006722026e-05, 'epoch': 1.96}
{'loss': 1.8135, 'learning_rate': 8.838473705021748e-05, 'epoch': 2.05}
{'loss': 1.792, 'learning_rate': 8.739620403321471e-05, 'epoch': 2.14}
{'loss': 1.7823, 'learning_rate': 8.640767101621194e-05, 'epoch': 2.22}
{'loss': 1.7755, 'learning_rate': 8.541913799920918e-05, 'epoch': 2.31}
{'loss': 1.7708, 'learning_rate': 8.443258204824041e-05, 'epoch': 2.4}
{'loss': 1.7598, 'learning_rate': 8.344404903123764e-05, 'epoch': 2.49}
{'loss': 1.7561, 'learning_rate': 8.245749308026889e-05, 'epoch': 2.58}
{'loss': 1.7449, 'learning_rate': 8.146896006326612e-05, 'epoch': 2.67}
{'loss': 1.7438, 'learning_rate': 8.048042704626336e-05, 'epoch': 2.76}
{'loss': 1.7362, 'learning_rate': 7.949387109529459e-05, 'epoch': 2.85}
{'loss': 1.7282, 'learning_rate': 7.850533807829182e-05, 'epoch': 2.94}
{'loss': 1.7191, 'learning_rate': 7.751680506128906e-05, 'epoch': 3.02}
{'loss': 1.7069, 'learning_rate': 7.652827204428629e-05, 'epoch': 3.11}
{'loss': 1.6999, 'learning_rate': 7.553973902728351e-05, 'epoch': 3.2}
{'loss': 1.7012, 'learning_rate': 7.455120601028075e-05, 'epoch': 3.29}
{'loss': 1.6845, 'learning_rate': 7.356267299327798e-05, 'epoch': 3.38}
{'loss': 1.6876, 'learning_rate': 7.257413997627521e-05, 'epoch': 3.47}
{'loss': 1.6832, 'learning_rate': 7.158560695927245e-05, 'epoch': 3.56}
{'eval_loss': 1.567627191543579, 'eval_runtime': 523.8464, 'eval_samples_per_second': 76.27, 'eval_steps_per_second': 9.535, 'epoch': 3.56}
